hotstar_id,title,description,genre,release_year,age_rating,running_time,seasons,episodes,type,country,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
1610043790.0,Kasturi,"Two friends living in a big city run around chasing their dreams. Little do they realise, what they are seeking is already inside them.",Drama,2018.0,U/A 13+,13.0,,,movie,Portugal,tt0978626,movie,Kasturi,Kasturi,0.0,1980.0,,,Drama,6.5,19
1260126804.0,He Too,A dreamy-eyed Indian student arrives in New York. Things take an interesting turn when an encounter with his roommate makes him confront the realities of life.,Drama,2021.0,U/A 16+,22.0,,,movie,Spain,tt11773840,short,He Too,He Too,0.0,2020.0,,,"Drama,Short",8.6,5
1260108206.0,Good Luck Jerry,"In dire need of money, Jerry gets drawn into the dangerous world of drug trafficking. Things go awry when she decides to quit.",Comedy,2022.0,A,118.0,,,movie,Brazil,tt13825336,movie,Good Luck Jerry,Good Luck Jerry,0.0,2022.0,,148,"Comedy,Crime,Drama",5.5,5845
1260110162.0,The Boy Next Door,"In the times of left swipe a small town guy starts a conversation with the city girl over letters, unaware where it would take them. Bound by the pain they share, found their special someone without even meeting. Is it possible to fall for someone without listening to their voice or watching their face everyday? Join us for this endearing journey of love with The Boy Next Door.",Drama,2022.0,U/A 13+,8.0,,,movie,Singapore,tt0528422,tvEpisode,The Boy Next Door,The Boy Next Door,0.0,1976.0,,,Comedy,7.2,97
1000157949.0,Palayam,"Lorry driver Noble struggles to make a living. What happens when Susan, a judge, comes to know that he is her son?",Drama,1994.0,U/A 16+,147.0,,,movie,Canada,tt0251921,movie,Palayam,Palayam,0.0,1993.0,,,"Action,Drama",4.6,27
1000227602.0,Jhankaar Beats,"Two advertising professionals who are die-hard R.D. Burman fans lead a messy personal life. When they befriend their boss's son, a new journey of music begins.",Comedy,2003.0,A,132.0,,,movie,France,tt0347278,movie,Jhankaar Beats,Jhankaar Beats,0.0,2003.0,,143,"Comedy,Music,Romance",7.1,2169
1000044267.0,Parijatha,"Good-for-nothing Bhaskar whiles away his time drinking at his friend's salon. But, when he tries to win over Chandrika, her father stands in his way.",Romance,2012.0,U/A 13+,144.0,,,movie,France,tt5332146,movie,Parijatha,Parijatha,0.0,2012.0,,144,"Comedy,Drama",6.9,30
1260105275.0,Ambu,"In the communally edgy city of Mumbai, a woman leads a suspicious life, sometimes disguising as a man. Will her secret be disclosed?",Drama,2018.0,U/A 13+,7.0,,,movie,Singapore,tt10256818,movie,Ambu,Ambu,0.0,2019.0,,118,Drama,8.8,61
1260024819.0,Manojder Adbhut Bari,"Manoj, a young boy who lives with his crazy clan, sets out to unravel the legend of the lost prince and the hidden treasure in an abandoned palace.",Comedy,2018.0,U,110.0,,,movie,USA,tt8364106,movie,Manojder Adbhut Bari,Manojder Adbhut Bari,0.0,2018.0,,117,"Comedy,Drama",5.2,267
1000231068.0,Tree Climbing Lions,"Biologist Alexander Braczkowski has to count lions, who live on trees, in Queen Elizabeth National Park, Uganda.",Animals & Nature,2019.0,U/A 7+,44.0,,,movie,UK,tt17424154,tvEpisode,Tree Climbing Lions,Tree Climbing Lions,0.0,2022.0,,,Documentary,6.8,7
